date,temperature
01/06/2011,29.4
01/07/2011,30.4
01/08/2011,31.5
01/09/2011,29.9
01/10/2011,25.8
01/11/2011,22.5
01/12/2011,17.6
01/01/2012,19.7
01/02/2012,19.7
01/03/2012,23.2
01/04/2012,26.5
01/05/2012,28.2
01/06/2012,30.2
01/07/2012,30.6
01/08/2012,30.9
01/09/2012,29
01/10/2012,26.8
01/11/2012,23.3
01/12/2012,21
01/01/2013,17.3
01/02/2013,21.7
01/03/2013,21.6
01/04/2013,24
01/05/2013,27
01/06/2013,30.3
01/07/2013,30.1
01/08/2013,30.4
01/09/2013,28.3
01/10/2013,26.7
01/11/2013,20.2
01/12/2013,15.9
01/01/2014,14.8
01/02/2014,17.1
01/03/2014,18.6
01/04/2014,24.2
01/05/2014,25.8
01/06/2014,29.7
01/07/2014,29.9
01/08/2014,30.9
01/09/2014,27.9
01/10/2014,26.7
01/11/2014,18.7
01/12/2014,19.2
01/01/2015,13.5
01/02/2015,16.5
01/03/2015,19.2
01/04/2015,25.4
01/05/2015,27.6
01/06/2015,29.6
01/07/2015,30.7
01/08/2015,30.6
01/09/2015,29.1
01/10/2015,26.9
01/11/2015,23
01/12/2015,20.2
01/01/2016,16.1
01/02/2016,20.2
01/03/2016,23.3
01/04/2016,25.6
01/05/2016,28.3
01/06/2016,29.5
01/07/2016,31.6
01/08/2016,31.4
01/09/2016,30.4
01/10/2016,27.8
01/11/2016,23.7
01/12/2016,19.7
01/01/2017,19.7
01/02/2017,23.6
01/03/2017,24.3
01/04/2017,26.7
01/05/2017,28.4
01/06/2017,30.4
01/07/2017,30.6
01/08/2017,31.5
01/09/2017,29.6
01/10/2017,25.9
01/11/2017,23.5
01/12/2017,16.5
01/01/2018,14.6
01/02/2018,20.6
01/03/2018,23.8
01/04/2018,24.7
01/05/2018,29.2
01/06/2018,30.7
01/07/2018,31.6
01/08/2018,31.2
01/09/2018,29.2
01/10/2018,24.9
01/11/2018,19.4
01/12/2018,18.4
01/01/2019,17.1
01/02/2019,19.7
01/03/2019,20.3
01/04/2019,25.1
01/05/2019,28.6
01/06/2019,31
01/07/2019,31.4
01/08/2019,32.4
01/09/2019,30
01/10/2019,26.4
01/11/2019,20.5
01/12/2019,19.3
01/01/2020,20.3
01/02/2020,18.9
01/03/2020,25.3
01/04/2020,27.4
01/05/2020,28.9
01/06/2020,30.1
01/07/2020,31.3
01/08/2020,31.5
01/09/2020,28.3
01/10/2020,26.6
01/11/2020,24.5
01/12/2020,19
01/01/2021,18.6
01/02/2021,17.5
01/03/2021,22.7
01/04/2021,25.2
01/05/2021,27.8
01/06/2021,29.8
01/07/2021,30.5
01/08/2021,32.2
01/09/2021,30.5
01/10/2021,28.5
01/11/2021,22.8
01/12/2021,23.8
01/01/2022,17.4
01/02/2022,16.5
01/03/2022,22.3
01/04/2022,27
01/05/2022,29.4
01/06/2022,30.8
01/07/2022,32.1
01/08/2022,31.4
01/09/2022,28.7
01/10/2022,26.5
01/11/2022,20.1
01/12/2022,18.7
01/01/2023,21
01/02/2023,20
01/03/2023,24.1
01/04/2023,24.8
01/05/2023,27.9
01/06/2023,31.3
01/07/2023,32.4
01/08/2023,32.8
01/09/2023,32.4
01/10/2023,26.8
01/11/2023,20.5
01/12/2023,20.1
01/01/2024,16.62
01/02/2024,19.51
01/03/2024,22.35
01/04/2024,24.99
01/05/2024,29.3
01/06/2024,29.51
01/07/2024,28.9
01/08/2024,29.55
01/09/2024,27.54
01/10/2024,25.35
01/11/2024,23.72
01/12/2024,21.07
01/01/2025,15.4
01/02/2025,18.34
01/03/2025,22.48
01/04/2025,24.55
01/05/2025,27.44
01/06/2025,28.74
01/07/2025,28.67
01/08/2025,29.51
