date,temperature
01/08/2018,28.4
01/09/2018,28.3
01/10/2018,27.1
01/11/2018,24.2
01/12/2018,21.9
01/01/2019,20
01/02/2019,23.5
01/03/2019,22.9
01/04/2019,25.2
01/05/2019,27.5
01/06/2019,28.7
01/07/2019,29.3
01/08/2019,28.6
01/09/2019,29
01/10/2019,28.2
01/11/2019,24.1
01/12/2019,23
01/01/2020,21.9
01/02/2020,22.7
01/03/2020,24.6
01/04/2020,27.2
01/05/2020,26
01/06/2020,28.8
01/07/2020,29.4
01/08/2020,29.4
01/09/2020,28.5
01/10/2020,27.6
01/11/2020,25.1
01/12/2020,20.6
01/01/2021,20.4
01/02/2021,23.1
01/03/2021,23.4
01/04/2021,25
01/05/2021,27
01/06/2021,27.9
01/07/2021,28.4
01/08/2021,29.3
01/09/2021,27.6
01/10/2021,27.1
01/11/2021,22.8
01/12/2021,23.5
01/01/2022,20.2
01/02/2022,22.7
01/03/2022,24.2
01/04/2022,25.5
01/05/2022,26.9
01/06/2022,27.5
01/07/2022,29.2
01/08/2022,29.6
01/09/2022,28.6
01/10/2022,26.5
01/11/2022,25.7
01/12/2022,22.2
01/01/2023,22.1
01/02/2023,24
01/03/2023,24.6
01/04/2023,26
01/05/2023,27
01/06/2023,28.3
01/07/2023,29.8
01/08/2023,29.9
01/09/2023,28.7
01/10/2023,27.4
01/11/2023,25.2
01/12/2023,21.9
01/01/2024,20.95
01/02/2024,19.78
01/03/2024,23.41
01/04/2024,23.86
01/05/2024,27.49
01/06/2024,27.17
01/07/2024,28.49
01/08/2024,28.17
01/09/2024,27.89
01/10/2024,26.05
01/11/2024,24.52
01/12/2024,21.84
01/01/2025,19.28
01/02/2025,23.24
01/03/2025,22.42
01/04/2025,24.68
01/05/2025,27.35
01/06/2025,27.78
01/07/2025,28.19
01/08/2025,28.82
